不学无术,学：学问；术：技能。原指没有学问因而没有办法。现指没有学问，没有本领。
离经叛道,原指违反封建统治阶级所尊奉的经典和教条。现泛指背离占主导地位的理论或学说。
智勇双全,又有智谋，又很勇敢。
深思远虑,谋划周密，老虎长远。指计划周到，具有远见。
虎踞龙盘,形容地势雄伟险要。
博大精深,博：广，多。形容思想和学识广博高深。
国富民强,国家富足，人民强健
栉风沐雨,栉：梳头发；沐：洗头发。风梳发，雨洗头。形容人经常在外面不顾风雨地辛苦奔波。
名垂千古,比喻好名声永远流传。
言听计从,听：听从。什么话都听从，什么主意都采纳。形容对某人十分信任。
大处落墨,落墨：落笔。原指画画或写文章要在主要部分下功夫。比喻做事从大处着眼。
大张旗鼓,张：陈设，展示；旗鼓：旗帜和战鼓。形容进攻的声势和规模很大。也形容群众活动声势和规模很大。
徐娘半老,指尚有风韵的中年妇女。
千古罪人,形容犯的罪永远被人记着
戮力同心,戮力：并力；同心：齐心。齐心合力。
大义凛然,大义：正义；凛然：严肃、或敬畏的样子。由于胸怀正义而神态庄严，令人敬畏。
叫苦不迭,不迭：不停止。形容连声叫苦。
玲珑剔透,形容器物精致通明，结构细巧。也比喻人精明灵活。
在所难免,难于避免。
尺幅千里,一尺长的画幅，画进了千里长的景象。比喻外形虽小，包含的内容很多。
千回百折,形容文艺作品或歌声、乐曲跌宕婉转。也形容事态的发展、前进的历程弯弯曲曲，很不顺利。
鱼跃龙门,同“鱼化龙”。
亲如手足,手足：指兄弟。像兄弟一样的亲密。
理直气壮,直：正确、合理；气壮：气势旺盛。理由正确充分，说话气势就盛
何足为奇,有什么值得奇怪的呢？表示不值得奇怪。
通天彻地,①形容本领十分高强。②从天到地，到处。
恩爱夫妻,恩：亲爱。指相亲相爱的夫妻
天理难容,旧指做事残忍，灭绝人性，为天理所不容。
不合时宜,时宜：当时的需要和潮流。不适合时代形势的需要。也指不合世俗习尚。
妨功害能,压抑陷害有功有能的人。
千人一面,众多人一个脸谱。多用以讥讽文艺创作上的雷同。
随声附和,自己没有主见，别人怎幺说，就跟着怎幺说。
春秋鼎盛,春秋：指年龄。指年富力强，精力充沛
趋之若鹜,趋：快走；鹜：野鸭。象鸭子一样成群跑过去。比喻很多人争着赶去。
马瘦毛长,比喻人境遇穷困，就会显得精神不振的样子。
仁义道德,泛指旧时鼓吹的道德规范。
掷地有声,金石：钟磬之类的乐器，声音清脆优美。比喻文章文辞优美，语言铿锵有力。
踟蹰不前,迟疑不决，不敢前进。
反戈一击,掉转武器向自己原来所属的阵营进行攻击。
雕章琢句,雕：雕刻；章：文章；琢：雕刻玉石；句：句子。象雕刻一样对文章的字句仔细斟酌修饰
不在话下,指事物轻微，或者理所当然，不值得一提。
兼收并蓄,把不同内容、不同性质的东西收下来，保存起来。
风吹雨打,原指花木遭受风雨摧残。比喻恶势力对弱小者的迫害。也比喻严峻的考验。
独树一帜,树：立；帜：旗帜。单独树起一面旗帜。比喻独特新奇，自成一家。
战天斗地,战、斗：泛指斗争。形容征服和改造大自然的英雄气慨。
风和日丽,和风习习，阳光灿烂。形容晴朗暖和的天气。
饭来张口,指吃现成饭而不劳动
痛快淋漓,淋漓：心情舒畅。形容非常痛快。
信口开合,比喻随口乱说一气。
墨守成规,墨守：战国时墨翟善于守城；成规：现成的或久已通行的规则、方法。指思想保守，守着老规矩不肯改变。
齐家治国,整治家庭和治理国家。
独往独来,指行动自由，没有阻碍。又指作文用字独具一格，后指单独往来。
熟读深思,反复地阅读，认真地思考。
励精图治,振奋精神，想办法治理好国家。
手不释卷,释：放下；卷：指书籍。书本不离手。形容勤奋好学。
循循善诱,循循：有次序的样子；善：善于；诱：引导。指善于引导别人进行学习。
城下之盟,指在敌方兵临城下时被迫签订的屈服的和约。
宦海风波,宦海：旧指官场。旧指官场沉浮，像海洋中的浪涛和大风，变化莫测；亦指官场中出现的风险和波折。
连绵不断,连绵：连续不断的样子。形容连续不止，从不中断
闭月羞花,闭：藏。使月亮躲藏，使花儿羞惭。形容女子容貌美丽。
呆如木鸡,见“呆若木鸡”。
烽火连年,烽火：古时边防报警的烟火。比喻战火或战争。指战火连年不断。
旱苗得雨,将要枯死的禾苗得到地场好雨。比喻在危难中得到援助。
人多嘴杂,杂：杂乱，多种多样。谈论的人多，说法多种多样。也指在场的人多，七嘴八舌。
千刀万剐,剐：割肉离骨。一刀一刀将罪犯身上的肉割下处死。形容罪恶重大，死也不能抵罪。
碍手碍脚,妨碍别人做事。
七拼八凑,指把零碎的东西拼凑起来。引申为胡乱凑合。
虽死犹生,犹：如同。指人虽死，精神不灭，楷模犹存。也指心无牵挂、憾事，虽死犹同活着。
流离失所,流离：转徒离散。无处安身，到处流浪。
谋财害命,为了劫夺财物，害人性命。
有生以来,从出生到现在。
只言片语,个别词句或片断的话。
诱敌深入,把敌人引进来，使它处于孤立而又不易逃跑的不利地位。
中流砥柱,就象屹立在黄河急流中的砥柱山一样。比喻坚强独立的人能在动荡艰难的环境中起支柱作用。
晚节不保,晚节：指晚年的节操。已经到了晚年却未能保住自己的节操。也指事情快成功的时候却失败了。
惟利是图,一心为利，别的什么都不顾。
孔孟之道,孔：孔子；孟：孟子。指儒家学说。
窃窃私语,窃窃：偷偷；私：私下；语：说话。背地里小声说话。
油腔滑调,形容说话轻浮油滑，不诚恳，不严肃。
损兵折将,军士和将领都遭到损失。
入情入理,入：合乎。合乎常情和道理。
随时随地,①谓依照当时当地情形；在不同的时间、地点。②任何时间、地点；时时处处。
吉祥如意,祥：祥瑞。如意称心。多用祝颂他人美满称心。
匡衡凿壁,《西京杂记》卷二：“匡衡，字稚圭。勤学而无烛，邻舍有烛而不逮，衡乃穿壁引其光，以书映光而读之。”后以“匡衡凿壁”为刻苦读书的典实。
镜花水月,镜里的花，水里的月。原指诗中灵活而不可捉摸的意境，后比喻虚幻的景象。
有头有脸,有面子；头面人物。
禀性难移,本性难以改变。
意气风发,意气：意志和气概；风发：象风吹一样迅猛。形容精神振奋，气概豪迈。
休戚相关,休：欢乐，吉庆；戚：悲哀，忧愁。忧喜、福祸彼此相关联。形容关系密切，利害相关。
百无一用,百样之中无一有用的。形容毫无用处。
心旷神怡,旷：开阔；怡：愉快。心境开阔，精神愉快。
奸淫掳掠,奸淫妇女，掠夺财物。
千钧一发,比喻情况万分危急。
落叶归根,飘落的枯叶，掉在树木根部。比喻事物有一定的归宿。多指客居他乡的人，终要回到本乡。
秦晋之好,春秋时，秦晋两国不止一代互相婚嫁。泛指两家联姻。
如梦方醒,象刚从梦中醒来。比喻过去一直糊涂，在别人或事实的启发下，刚刚明白过来。
缘木求鱼,缘木：爬树。爬到树上去找鱼。比喻方向或办法不对头，不可能达到目的。
惊弓之鸟,被弓箭吓怕了的鸟不容易安定。比喻经过惊吓的人碰到一点动静就非常害怕。
损人利己,损害别人，使自己得到好处。
飞扬跋扈,飞扬：放纵；跋扈：蛮横。原指意态狂豪，不爱约束。现多形容骄横放肆，目中无人。
令人发指,使人头发都竖起来了。形容使人极度愤怒。
三番两次,屡次，多次。
芬芳馥郁,芬芳：指香气；馥：香气；馥郁：香气浓厚。形容香气非常浓。
扬长而去,大模大样地径自走了。
披麻戴孝,指长辈去世，子孙身披麻布服，头上戴白，表示哀悼。
饱经沧桑,饱：充分。沧桑：沧海变桑田的简缩。泛指世事的变化。经历过多次的世事变化，生活经历极为丰富。
孤立无援,只有一个人或一方面的力量，得不到外力援助。
相煎何急,煎煮得为什么那样急。比喻兄弟间自相残害。
一扫而空,一下子便扫除干净。比喻彻底清除。
味如鸡肋,鸡肋：鸡的肋骨，没有肉，比喻无多大意味而又不忍舍弃的东西。比喻事情不做可惜，做起来没有多大好处。
前车之鉴,鉴：镜子，为教训。前面车子翻倒的教训。比喻先前的失败，可以做为以后的教训。
同室操戈,同室：一家，指自己人；操：拿起；戈：古代的兵器。自家人动刀枪。指兄弟争吵。泛指内部斗争。
不即不离,即：靠近；离：疏远。形容既不接近，也不疏远。也是佛家语，诸法相状虽异而性体则不一
焚书坑儒,焚：烧；坑：把人活埋；儒：指书生。焚毁典籍，坑杀书生。
旷日持久,旷：荒废，耽误。荒废时间，拖得很久。
三心二意,又想这样又想那样，犹豫不定。常指不安心，不专一。
陡壁悬崖,形容山势险峻
含沙射影,传说一种叫蜮的动物，在水中含沙喷射人的影子，使人生病。比喻暗中攻击或陷害人。
碧波荡漾,碧：青绿色。青绿色的波浪起伏不定
寻根究底,追求根底。一般指追问一件事的原由。
先斩后奏,原指臣子先把人处决了，然后再报告帝王。现比喻未经请示就先做了某事，造成既成事实，然后再向上级报告。
哼哼唧唧,形容说话装模作样，拿腔拿调。也形容生病时的呻吟声。
见异思迁,迁：变动。看见另一个事物就想改变原来的主意。指意志不坚定，喜爱不专一。
兵多将广,兵将众多。形容军队人员多，兵力强大。
顽固不化,化：改变。坚持错误，不肯改悔。
遍地开花,比喻好的事物到处涌现或普遍发展。
画蛇添足,画蛇时给蛇添上脚。比喻做了多余的事，非但无益，反而不合适。
骄傲自满,看不起别人，满足于自己已有的成绩。
积毁销骨,积：聚；毁：毁谤；销：熔化。指不断的毁谤能使人毁灭。
不念旧恶,念：记在心上。不计较过去的怨仇。
侧目而视,侧：斜着。斜着眼睛看人。形容憎恨或又怕又愤恨。
蹦蹦跳跳,精力充沛的充满活力的样子 
重见天日,重新看到了天和太阳。比喻脱离黑暗，重见光明。
指手划脚,用手指，用脚划。形容说话时用手脚示意，也比喻瞎指挥，乱加指点批评。
七窍玲珑,形容聪明灵巧。相传心有七窍，故称。
似曾相识,好象曾经见过。形容见过的事物再度出现。
事必躬亲,躬亲：亲自。不论什么事一定要亲自去做，亲自过问。形容办事认真，毫不懈怠。
人间天堂,指人世间极美好的地方。
大展宏图,展：把卷画打开，比喻实现；宏图：比喻宏伟远大的谋略与计划。大规模地实施宏伟远大的计划或抱负
旧态复萌,旧态：老脾气，老样子；复：又；萌：发生。指旧的习气或毛病等又出现了。
旧病复发,比喻老毛病又犯了
哗众取宠,以浮夸的言论迎合群众，骗取群众的信赖和支持。
真心诚意,心意真实诚恳，没有虚假。
洋洋大观,洋洋：盛大、众多的样子；大观：丰富多采的景象。形容美好的事物众多丰盛。
喷薄欲出,喷薄：涌起，上升的样子；欲：将要。形容水涌起或太阳初升时涌上地平线的样子。
瓜熟蒂落,蒂：花或瓜果跟枝茎相连的部分。瓜熟了，瓜蒂自然脱落。指时机一旦成熟，事情自然成功。
躬行实践,亲身实行或体验。
貌似强大,表面好象强大，实际却很虚弱。
彰明较著,彰、明、较、著：都是明显的意思。指事情或道理极其明显，很容易看清。
因材施教,因：根据；材：资质；施：施加；教：教育。指针对学习的人的志趣、能力等具体情况进行不同的教育。
唾手可得,唾手：往手上吐唾沫。动手就可以取得。比喻极容易得到。
仁心仁术,心地仁慈，医术高明。
首鼠两端,首鼠：鼠性多疑，出洞时一进一退，不能自决；两端：拿不定主意。在两者之间犹豫不决右动摇不定。
岿然不动,岿然：高峻独立的样子。象高山一样挺立着一动不动。形容高大坚固，不能动摇。
八拜之交,八拜：原指古代世交子弟谒见长辈的礼节；交：友谊。旧时朋友结为兄弟的关系。
惹草拈花,惹：招引，挑逗。比喻男女调情。多指调戏妇女。
过河拆桥,自己过了河，便把桥拆掉。比喻达到目的后，就把帮助过自己的人一脚踢开。
洋洋洒洒,洋洋：盛大、众多的样子；洒洒：明白、流畅的样子。形容文章或谈话丰富明快，连续不断。
落落大方,落落：坦率，开朗的样子。形容言谈举止自然大方。
先礼后兵,礼：礼貌；兵：武力。先按通常的礼节同对方交涉，如果行不能，再用武力或其他强硬手段解决。
恼羞成怒,由于羞愧到了极点，下不了台而发怒。
骄奢淫逸,原指骄横、奢侈、荒淫、放荡四种恶习。后形容生活放纵奢侈，荒淫无度。
强本节用,本：我国古代以农为本。加强农业生产，节约费用。
举手投足,一抬手，一动脚。形容轻而易举，毫不费力。
嘁嘁喳喳,低声议论，搬弄是非
万贯家财,形容家产极丰。
无动于衷,衷：内心。心里一点儿也没有触动，毫无感触，漠然置之。
同床异梦,异：不同。原指夫妇生活在一起，但感情不和。比喻同做一件事而心里各有各的打算。
振奋人心,振奋：振作奋发。使人们振作奋发。
群雄逐鹿,群雄：旧指许多有军事势力的人。逐鹿：比喻争夺帝王之位。形容各派势力争夺最高统治地位。
一言一行,每句话，每个行动。
瑜不掩瑕,瑜：玉的光彩，比喻优点；瑕：玉上的斑点，比喻缺点。比喻优点遮盖不了缺点。
雄心勃勃,勃勃：旺盛的样子。形容雄心很大，很有理想。
半懂不懂,不十分懂。
用尽心机,心机：心思。用尽了心思。
以讹传讹,以：拿，把；讹：谬误。指把本来就不正确的话又错误地传出去，越传越错。
日夜兼程,不分白天黑夜拼命赶路。
七步之才,形容才思敏捷。
身败名裂,身：身分，地位；败：毁坏；裂：破损。地位丧失，名誉扫地。指做坏事而遭到彻底失败。
有始无终,有开始没有结尾。指做事不做到底。
临危不惧,遇到危难的时候，一点也不怕。
手急眼快,形容动作机警，手快眼快
寸步不离,寸步：形容距离很近。原指夫妻和睦，一步也不离开。现在泛指两人感情好，总在一起。
汲汲皇皇,汲汲：急切的样子。急切匆忙
监守自盗,窃取公务上自己看管的财物。
真相毕露,真面目完全显露出来
朝令夕改,早晨发布的命令，晚上就改了。比喻经常改变主张和办法，一会儿一个样。
悄然无声,悄然：寂静无声的样子。静悄悄的，听不到一点声音。 
鸠形鹄面,形容身体消瘦，面容憔悴。
高头讲章,经书正文上端留有较宽空白，刊印讲解文字，这些文字称为“高头讲章”
芸芸众生,芸芸：众多。佛家语，指一切生灵。后多指世上大群无知无识的人。
日进斗金,一天能收进一斗黄金。形容发大财。
不慌不忙,慌：急遽忙乱。不慌张，不忙乱，从容不迫
风风火火,形容急急忙忙，冒冒失失的样子。
瘦骨嶙峋,形容人或动物消瘦露骨。
遐尔闻名,形容名声大，远近都知道
旧雨新知,旧相识和新朋友
莫逆于心,心中没有抵触。指情感一致，心意相投
一点一滴,形容微少零星。
披坚执锐,穿着铁甲，拿着武器。形容全副武装。
舍本逐末,舍：舍弃；逐：追求。抛弃根本的、主要的，而去追求枝节的、次要的。比喻不抓根本环节，而只在枝节问题上下功夫。
身不由主,身体不由自己作主。
名不虚传,传出的名声不是虚假的。指实在很好，不是空有虚名。
冲锋陷阵,陷：攻破，深入。不顾一切，攻入敌人陈地。形容作战勇猛。
千恩万谢,一再表示感恩和谢意。
缠绵悱恻,旧时形容内心痛苦难以排解。也指文章感情婉转凄凉。
食指大动,原指有美味可吃的预兆，后形容看到有好吃的东西而贪婪的样子。
顺理成章,顺：依顺；理：条理；章：章法。指写文章或做事情顺着条理就能做好。也比喻某种情况自然产生某种结果。
耸入云霄,形容山或建筑物很高，都进了云端。
求之不得,想找都找不到。原指急切企求，但不能得到。后多形容迫切希望得到。
至理名言,至：最；名：有名声的。最正确的道理，最精辟的言论。
心腹之患,心腹：比喻要害。比喻隐藏在内部的严重祸害。也泛指最大的隐患。
打狗看主,狗有主人，打不打它，要看给其主人留不留情面。比喻处理坏人下事要顾全其后台的情面。
费尽心机,心机：计谋。挖空心思，想尽办法。
进退两难,前进和后退都难。比喻事情无法决定，因而难以行动。
恶声恶气,形容说话语气很凶狠，态度粗暴。
希奇古怪,奇怪而罕见。
不辨菽麦,菽：豆子。分不清哪是豆子，哪是麦子。形容愚笨无知。后形容缺乏实际生产知识。
潇洒风流,气度超脱，风度大方。亦作“风流潇洒”。
源源不绝,源源：水流不断的样子。形容接连不断。
背恩弃义,指辜负别人对自己的恩义。同“背恩忘义”。
阴魂不散,比喻坏人、坏事虽已清除，但不良的影响还在起作用。
振聋发聩,聩：天生耳聋，引伸为不明事理。声音很大，使耳聋的人也听得见。比喻用语言文字唤醒糊涂麻木的人，使他们清醒过来。
深得人心,得到广大人民的热烈拥护
不得要领,要：古“腰”字；领：衣领。要领：比喻关键。抓不住要领或关键。
积年累月,积年：多年；累月：连月。指经过的时间长。
浓荫蔽日,形容树木枝繁叶茂，可以遮住阳光。
仪表堂堂,仪表：人的外表，风度；堂堂：仪容庄严大方的样子。形容人的容貌端正。
无形无影,①不见形迹；完全消失。②以形容虚构的事物。
羽扇纶巾,拿着羽毛扇子，戴着青丝绶的头巾。形容态度从容。
力不从心,心里想做，可是力量够不上。
明明白白,清清楚楚，明确无误；正大光明
天兵天将,旧指天上的军队和将领。也比喻本领高强的人们。 
一笔抹煞,抹煞：勾销。画一笔，全部抹掉。比喻轻率地把成绩、优点全部否定。
背本趋末,古代常以农业为本，手工、商贾为末。指背离主要部分，追求细微末节。
冷冷清清,死气沉沉，冷落、凄凉、寂寞 
生公说法,生公：晋末高僧竺道生，世称生公。竺道生解说佛法，能使顽石点头。比喻精通者亲自来讲解，必能透彻说理而使人感化。
名落孙山,名字落在榜末孙山后。指考试没有被录取，榜上无名
别开生面,生面：新的面目。原意是凌烟阁里的功臣画像本已褪色，经曹将军重画之后才显得有生气。比喻另外创出一种新的形式或局面。
怨声载道,载：充满。怨恨的声音充满道路。形容人民群众普遍强烈不满。 
万里鹏程,比喻前程远大。
刻骨仇恨,永记心头的深仇大恨。
艰难困苦,形容处境艰苦，困难重重。
不可言喻,喻：说明，告知。不能用言语来说明。
遇难成祥,碰到灾难也能化为吉祥。
春和景明,春光和煦，风景鲜明艳丽。
瓮中捉鳖,从大坛子里捉王八。比喻想要捕捉的对象已在掌握之中。形容手到擒来，轻易而有把握。
前街后巷,指各处的街巷。
当家作主,本指主管家政，有权对家事做出决定。比喻在单位或国家中居主人翁地位
天壤之别,壤：地。天和地，一极在上，一级在下，比喻差别极大。
含苞待放,形容花朵将要开放时的形态。也比喻将成年的少女。
一败涂地,形容失败到了不可收拾的地步。
七十二行,泛指各行各业。
人心不古,古：指古代的社会风尚。旧时指人心奸诈、刻薄，没有古人淳厚。
睚眦必报,睚眦：发怒时瞪眼睛，借指极小的仇恨。象瞪一下眼睛那样极小的怨仇也要报复。比喻心胸极狭窄。
餐风饮露,形容旅途或野外生活的艰苦。
研精覃思,研：研究；精：细密；覃：深入；思：思考。精心研究，深入思考。
崇洋媚外,崇：崇拜，推崇；媚：谄媚。崇拜外国的一切事物，向外国人献媚
不可多得,形容非常稀少，很难得到（多指人才或稀有物品）。
饿殍遍野,殍：人饿死后的尸体。到处是饿死的人。形容老百姓因饥饿而大量死亡的悲惨景象
信口雌黄,信：任凭，听任；雌黄：即鸡冠石，黄色矿物，用作颜料。古人用黄纸写字，写错了，用雌黄涂抹后改写。比喻不顾事实，随口乱说。
郁郁苍苍,①犹言郁郁葱葱。草木苍翠茂盛貌。②形容气之旺盛。
简明扼要,指说话、写文章简单明了，能抓住要点。
心慈手软,心怀恻隐而不忍下手。
大人先生,旧时指有身分有地位的人。有时带讽刺意味。
羊狠狼贪,狠：凶狠。原指为人凶狠，争夺权势。后比喻贪官污吏的残酷剥削。
举手之劳,一举手那样的辛劳。形容轻而易举，毫不费力。
一场春梦,比喻过去的一切转眼成空。也比喻不切实际的想法落了空。
愚公移山,比喻坚持不懈地改造自然和坚定不移地进行斗争。 
平心而论,平心：心情平和，不动感情；论：评论。平心静气地给予客观评价。
贤贤易色,本指对妻子要重品德，不重容貌。后多指尊重贤德的人，不看重女色。
背道而驰,背：背向；道：道路；驰：奔跑。朝相反的方向跑去。比喻彼此的方向和目的完全相反。
各不相让,让：歉让。互不谦让、让步。
百里挑一,一百个当中就挑出这一个来。形容人才出众。
眉清目秀,形容人容貌清秀不俗气。
兵不血刃,兵：武器；刃：刀剑等的锋利部分。兵器上没有沾上血。形容未经战斗就轻易取得了胜利。
引人入胜,胜：胜境。引人进入佳境。现多用来指风景或文艺作品特别吸引人。 
虚度年华,虚：没有收获、成就。白白地度过年岁。
破涕为笑,涕：眼泪。一下子停止了哭泣，露出笑容。形容转悲为喜。
耳软心活,比喻自己没有一点主见，就是相信别人的话。
驿寄梅花,请邮差寄送梅花。比喻向远方友人表达思念之情。
扬扬得意,形容十分得意的样子。
挑拨离间,搬弄是非，使别人不团结。
琴棋书画,弹琴、弈棋、写字、绘画。常以表示个人的文化素养。
不能自已,已：停止。指无法控制自己，使激动的情绪平静下来。
神通广大,神通：原是佛家语，指神奇的法术。法术广大无边。形容本领高超，无所不能。
漏网之鱼,比喻侥幸逃脱的罪犯或敌人。
付诸东流,付：交给；诸：之于；东流：向东流的江河。投入东流的河水里冲走。比喻希望落空，前功尽弃
另眼看待,用不同于一般的眼光看待
将心比心,设身处地地为别人着想。
火耕水耨,耨：除草。古代一种原始耕种方式。
怦然心动,指由于受某种事物的吸引，思想情感起了波动。
一石二鸟,扔一颗石子打到两只鸟。比喻做一件事情得到两样好处。
大步流星,形容步子跨得大，走得快。
不攻自破,破：毁坏。不用攻击就自动破灭。形容情节、论点虚谬，经不起反驳
负重致远,负：背着；致：送到。背着重东西走远路。比喻能够负担艰巨任务。
区区小事,〖释义〗区区：小，少。形容很小很少的小事。
打击报复,打击：攻击。用敌对的态度回击对方
绚丽多彩,形容色彩华丽
乐此不疲,因酷爱干某事而不感觉厌烦。形容对某事特别爱好而沉浸其中。
置之不理,之：代词，它；理：理睬。放在一边，不理不睬。
六道轮回,佛教语，六道：天道、人道、阿修罗道、畜生道、饿鬼道和地狱道。指众生轮回的六大去处，即在这六道中轮回生死
歪风邪气,歪、邪：不正当，不正派。指不良的作风和风气。
片瓦无存,一块瓦都没有了。形容房屋全部毁坏。
公之于众,公：公开；之：代指事物的内容；于：向；众：大众。把事情真相向大家公布。
避难就易,避：躲开，回避。避开困难的拣容易的做
云起龙骧,骧：腾起。如云涌升，如龙腾起。旧时比喻英雄豪杰乘时而起。
从宽发落,发落：处分，处置。指处罚从宽，轻予放过。
淡泊明志,指不追求名利才能使志趣高洁。
积羽沉舟,羽毛虽小，积多了也能把船压沉。比喻小小的坏事积累起来就会造成严重的后果。
出言不逊,逊：谦让，有礼貌。说话粗暴无礼。
心灵手巧,心思灵敏，手艺巧妙（多用在女子）。
回眸一笑,眸：眼珠。转动眼珠，嫣然一笑。常用以形容女子妩媚的表情。
蝇头小利,比喻非常微小的利润。
白头到老,白头：头发白。指夫妻相爱相守一直到老
浩如烟海,浩：广大；烟海：茫茫大海。形容典籍、图书等极为丰富。
饱食暖衣,饱食：吃得饱；暖衣：穿得暖。形容生活宽裕，衣食丰足。
奋发图强,奋发：精神振作，情绪饱满；图：谋求；强：强大。振作精神，谋求强盛
坐而论道,坐着空谈大道理。指口头说说，不见行动。
中庸之道,指不偏不倚，折中调和的处世态度。
冷酷无情,冷漠苛刻，没有感情
绵延不断,形容相同的自然景观一个接一个不间断地出现
当场出丑,在大庭广众露出丑相，丢脸
人间地狱,人世间的活地狱。比喻黑暗的社会。
土豪劣绅,土豪：乡里的豪强，即仗势欺人的地主。劣绅：地方上的恶霸或退职官僚中的恶劣者。旧社会有钱有势、横行乡里的人。
苍白无力,苍白：灰白。形容贫弱无力
玩忽职守,不认真、不负责地对待本职工作。
李代桃僵,僵：枯死。李树代替桃树而死。原比喻兄弟互相爱护互相帮助。后转用来比喻互相顶替或代人受过。
天崩地塌,天崩塌，地裂陷。多比喻巨大的灾难、重大的事变或强烈的声响。 
善罢甘休,轻易地了结纠纷，心甘情愿地停止再闹。
矮人看戏,比喻只知道附和别人，自己没有主见。也比喻见识不广
黯然伤神,沮丧的样子。情绪低沉，心神忧伤。
兵连祸结,兵：战争；连：接连；结：相联。战争接连不断，带来了无穷的灾祸。
大喜过望,过：超过；望：希望。结果比原来希望的还好，因而感到特别高兴。
命中注定,迷信的人认为人的一切遭遇都是命运预先决定的，人力无法挽回。
大音希声,《老子》：“大音希声，大象无形。”王弼注：“听之不闻名曰希，不可得闻之音也。有声则有分，有分则不宫而商矣。分则不能统众，故有声者非大音也。”魏源本义引吕惠卿曰：“以至音而希声，象而无形，名与实常若相反者也，然则道之实盖隐于无矣。”意谓最大最美的声音乃是无
借水行舟,见“借水推船”。
凤毛麟角,凤凰的羽毛，麒麟的角。比喻珍贵而稀少的人或物。
以儆效尤,儆：使人警醒，不犯错误；效：仿效，效法；尤：过失。指处理一个坏人或一件坏事，用来警告那些学着做坏事的人。
偃旗息鼓,偃：仰卧，引伸为倒下。放倒旗子，停止敲鼓。原指行军时隐蔽行踪，不让敌人觉察。现比喻事情终止或声势减弱。
豪情壮志,豪迈的情感，远大的志向。
空谷足音,在寂静的山谷里听到脚步声。比喻极难得到音信、言论或来访。
罚不当罪,当：相当，抵挡。处罚和罪行不相当。
望梅止渴,原意是梅子酸，人想吃梅子就会流涎，因而止渴。后比喻愿望无法实现，用空想安慰自己。
大风大浪,指巨大的风浪。比喻社会的大动荡、大变化。也比喻尖锐、复杂、激烈、艰苦的斗争。
敬谢不敏,谢：推辞；不敏：不聪明，没有才能。恭敬地表示能力不够或不能接受。多作推辞做某事的婉辞。
龙蟠虎踞,象龙盘着，象虎蹲着。形容地势雄伟险要。特指南京。
运筹帏幄,同“运筹帷幄”。
望风响应,望：看。风：风声。看到对方有什么举动，就积极响应。
无拘无束,拘、束：限制、约束。形容自由自在，没有牵挂。
舍本求末,舍：舍弃；求：追求。抛弃根本的、主要的，而去追求枝节的、次要的。比喻不抓根本环节，而只在枝节问题上下功夫。
怵目惊心,惊：震惊。看见事态严重，心里感到震惊
咄咄逼人,咄咄：表示惊奇的声音。气势汹汹，盛气凌人，出口伤人。形容本领赶上或超过前人，令人赞叹
痴心妄想,痴心：沉迷于某人或某事的心思；妄想：荒诞的打算。一心想着不可能实现的事。也指愚蠢荒唐的想法。
东征西讨,指四面出兵征战讨伐。
犯上作乱,犯：干犯。封建统治者指人民的反抗、起义。
厚德载物,旧指道德高尚者能承担重大任务。
大而化之,化：改变，转变。原指大行其道，使天下化之。后形容做事情不小心谨慎。
首当其冲,冲：交通要道。比喻最先受到攻击或遭到灾难。
分道扬镳,分路而行。比喻目标不同，各走各的路或各干各的事。
杀人如麻,如麻：象乱麻一样数不清。杀死的人多得象乱麻。形容杀的人多得数不清。
火烧火燎,燎：烘烤，烧烤。比喻心急如焚
水天一色,水光与天色相浑。形容水天相接的辽阔景象。
凿壁偷光,原指西汉匡衡凿穿墙壁引邻舍之烛光读书。后用来形容家贫而读书刻苦。
独当一面,单独负责一个方面的工作。
令人作呕,比喻使人极端厌恶。
千奇百怪,形容各种各样奇怪的事物。
虎步龙行,原形容帝王的仪态不同一般。后也形容将军的英武姿态。
不分皂白,皂：黑色。不分黑白，不分是非。
劳逸结合,逸：安乐、休息。工作与休息相结合
怫然不悦,怫然：忧愁或愤怒的样子；悦：愉快，高兴。愤怒，很不愉快。
余音缭绕,形容悦耳的歌声或乐曲使人听了不能一下子忘掉。
裙带关系,裙带：比喻妻女、姊妹的亲属。指相互勾结攀援的妇女姻亲关系。
相辅相成,辅：辅助。指两件事物互相配合，互相辅助，缺一不可。 
口若悬河,讲起话来滔滔不绝，象瀑布不停地奔流倾泻。形容能说会辨，说起来没个完。
举世闻名,全世界都知道。形容非常著名。
口耳相传,口说耳听地往下传授
鼻青脸肿,鼻子发青，脸都肿起来，形容被打得很惨
千难万险,形容困难和危险极多。
此起彼伏,此：这里；彼：那里。这里起来，那里落下。形容接连不断
为丛驱雀,丛：丛林；驱：赶。把雀赶到丛林。比喻不会团结人，把一些本来可以团结的人赶到敌对方面去。
食不甘味,甘味：感到味道好。吃东西都觉得没有味道。形容心里有事，吃东西也不香。
成双成对,见“成双作对”。
悖入悖出,悖：违背、胡乱。用不正当的手段得来的财物，也会被别人用不正当的手段拿去。胡乱弄来的钱又胡乱花掉。
鹤立鸡群,象鹤站在鸡群中一样。比喻一个人的仪表或才能在周围一群人里显得很突出。
博采众长,从多方面吸取各家的长处。
嘻皮笑脸,①形容嘻嘻哈哈的样子。②形容轻薄嘻笑的样子。③形容谄笑讨好的样子。
